dataset_id,agent,owner,repo,pr_number,html_url,human_label,harnessci_decision,overall_agentic_risk,files_changed,lines_added,lines_deleted,manifest_changed_files,manifest_additions,manifest_deletions,spec_used,finding_count,top_findings,diff_sha256
MykhailoStratan__construction-history-threejs__pull_11,OpenAI_Codex,MykhailoStratan,construction-history-threejs,11,https://github.com/MykhailoStratan/construction-history-threejs/pull/11,NEEDS_REVIEW,PASS,20,4,149,14,4,149,14,True,0,,4ca7e2618a239f56925a8092077157932a295af0f8f6e6294446cb2b471db78d
pezware__mirubato__pull_197,Claude_Code,pezware,mirubato,197,https://github.com/pezware/mirubato/pull/197,ACCEPTABLE,REVIEW_REQUIRED,42,16,538,234,16,538,234,True,2,Sensitive files were modified but no new tests were added. | Change type 'security-sensitive' detected with no new tests.,58fb8c45806ebf9ab653d5486fce1f817868bd3d0a5c4cf93ad65d48dd7d5863
PtiCalin__vault_image-description_temp__pull_5,OpenAI_Codex,PtiCalin,vault_image-description_temp,5,https://github.com/PtiCalin/vault_image-description_temp/pull/5,NEEDS_REVIEW,PASS,22,4,105,0,4,105,0,True,0,,6f15376f45f9ede1df3d193a0273042d52566fa454d5aff3307ef102c711ba24
kako-jun__diffai__pull_2,Claude_Code,kako-jun,diffai,2,https://github.com/kako-jun/diffai/pull/2,NEEDS_REVIEW,PASS,24,5,114,357,5,114,357,True,0,,e75176bb409d9f8ff05b3acacf2ddbf92ca03ffc8c59caec9d66f427288f8b13
seiforesti__data_wave__pull_8,Cursor,seiforesti,data_wave,8,https://github.com/seiforesti/data_wave/pull/8,NEEDS_REVIEW,REVIEW_REQUIRED,60,1914,255039,3,8,2594,2480,True,4,Sensitive files were modified but no new tests were added. | Change type 'database-change' detected with no new tests. | Database migration added with no new tests.,d9935313351c0ea0ab3aa089a533cef61487d07cf0a08f4e585b6ecca0f6151d
ukkari__taikenmura__pull_42,Devin,ukkari,taikenmura,42,https://github.com/ukkari/taikenmura/pull/42,ACCEPTABLE,PASS,18,3,178,6,3,178,6,True,0,,45834af13763b48c31585d88253da065758db6d6a7d6d8126daf8910cc727fbd
timbornemann__Total-Task-Tracker__pull_94,OpenAI_Codex,timbornemann,Total-Task-Tracker,94,https://github.com/timbornemann/Total-Task-Tracker/pull/94,ACCEPTABLE,PASS,18,2,46,15,2,46,15,True,0,,b2ae07f3d060fb58107084a7a290316e2f533c3e9b21dc00af23c11feca3f1eb
hmislk__hmis__pull_14294,Claude_Code,hmislk,hmis,14294,https://github.com/hmislk/hmis/pull/14294,ACCEPTABLE,REVIEW_REQUIRED,31,10,1301,135,10,1301,135,True,0,,03d294c55decd0610d240a896aa674ddeec04ddae39d5baea7a97b7cbe9dbfee
damilola-elegbede__claude-config__pull_12,Claude_Code,damilola-elegbede,claude-config,12,https://github.com/damilola-elegbede/claude-config/pull/12,NEEDS_REVIEW,REVIEW_REQUIRED,42,61,6803,855,61,6803,855,True,1,Public API changed but no new tests were added to verify the contract.,e574e608ad67bca829a9116f3447c230e2eb4f434ec3f5e0fb855c807448470c
sgbaird__honegumi__pull_101,Copilot,sgbaird,honegumi,101,https://github.com/sgbaird/honegumi/pull/101,ACCEPTABLE,PASS,18,2,2,1,2,2,1,True,0,,8d9d5da215ed23a539d770d610f28a1d29f26b0f50197f82b173d7ef3cc5e2be
